source,license,layer,filename,relative_path,duration_seconds,sample_rate,channels,url,note,original_path
Freesound,Verificar licença na página individual antes de runtime,ball_dribble,788268__amsaenz03__soccer-ball-kick-dribble-in-grass.wav,assets/sounds/candidates/freesound/788268__amsaenz03__soccer-ball-kick-dribble-in-grass.wav,43.64,48000,1,https://freesound.org/s/788268/,"chute/drible na grama, candidato para bola com vida",/Users/eventanilha/Downloads/audio-game/788268__amsaenz03__soccer-ball-kick-dribble-in-grass.wav
Freesound,Verificar licença na página individual antes de runtime,chant,417783__garuda1982__soccer-fans-vocals-field-recording-with-zoom-h2n.wav,assets/sounds/candidates/freesound/417783__garuda1982__soccer-fans-vocals-field-recording-with-zoom-h2n.wav,18.42,96000,2,https://freesound.org/s/417783/,"vocais de torcida em campo, candidato para chant",/Users/eventanilha/Downloads/audio-game/417783__garuda1982__soccer-fans-vocals-field-recording-with-zoom-h2n.wav
Freesound,Verificar licença na página individual antes de runtime,crowd_reaction,268932__icmusic__crowd-reaction-at-ice-hockey-match.wav,assets/sounds/candidates/freesound/268932__icmusic__crowd-reaction-at-ice-hockey-match.wav,225.71,48000,2,https://freesound.org/s/268932/,"reacao forte, usar se nao parecer hockey demais",/Users/eventanilha/Downloads/audio-game/268932__icmusic__crowd-reaction-at-ice-hockey-match.wav
Freesound,Creative Commons 0 confirmado em 2026-05-17,kick,555042__bittermelonheart__soccer-ball-kick.wav,assets/sounds/candidates/freesound/555042__bittermelonheart__soccer-ball-kick.wav,0.74,96000,2,https://freesound.org/s/555042/,chute seco de bola,/Users/eventanilha/Downloads/audio-game/555042__bittermelonheart__soccer-ball-kick.wav
Freesound,Verificar licença na página individual antes de runtime,stadium_ambience,274516__stomachache__stadium-crowd.wav,assets/sounds/candidates/freesound/274516__stomachache__stadium-crowd.wav,8.19,44100,2,https://freesound.org/s/274516/,"ambiente de estadio, candidato para base/air",/Users/eventanilha/Downloads/audio-game/274516__stomachache__stadium-crowd.wav
Freesound,Verificar licença na página individual antes de runtime,stadium_ambience,494360__sandermotions__soccer-stadium-10.wav,assets/sounds/candidates/freesound/494360__sandermotions__soccer-stadium-10.wav,156.30,48000,2,https://freesound.org/s/494360/,"ambiente Sandermotions avulso, duplicado tambem no pack",/Users/eventanilha/Downloads/audio-game/494360__sandermotions__soccer-stadium-10.wav
Freesound,Creative Commons 0 confirmado em 2026-05-17,whistle,218318__splicesound__referee-whistle-blow-gymnasium.wav,assets/sounds/candidates/freesound/218318__splicesound__referee-whistle-blow-gymnasium.wav,3.33,48000,1,https://freesound.org/s/218318/,"apito real, candidato principal ou alternativo",/Users/eventanilha/Downloads/audio-game/218318__splicesound__referee-whistle-blow-gymnasium.wav
Freesound,Creative Commons 0 confirmado em 2026-05-17,whistle,538422__rosa-orenes256__referee-whistle-sound.wav,assets/sounds/candidates/freesound/538422__rosa-orenes256__referee-whistle-sound.wav,0.54,48000,1,https://freesound.org/s/538422/,apito curto leve,/Users/eventanilha/Downloads/audio-game/538422__rosa-orenes256__referee-whistle-sound.wav
Freesound pack 27815,Creative Commons 0 conforme _readme_and_license.txt,goal_roar,494352__sandermotions__goal.wav,assets/sounds/candidates/freesound/sandermotions_soccer_match_stadium_sounds_pack_27815/494352__sandermotions__goal.wav,14.78,48000,2,https://freesound.org/s/494352/,pack Sandermotions CC0; candidato para gol,/Users/eventanilha/Downloads/audio-game/27815__sandermotions__soccer-match-stadium-sounds.zip!/494352__sandermotions__goal.wav
Freesound pack 27815,Creative Commons 0 conforme arquivo,license,_readme_and_license.txt,assets/sounds/candidates/freesound/sandermotions_soccer_match_stadium_sounds_pack_27815/_readme_and_license.txt,,,,https://freesound.org/people/Sandermotions/packs/27815/,licença do pacote Sandermotions,/Users/eventanilha/Downloads/audio-game/27815__sandermotions__soccer-match-stadium-sounds.zip!/_readme_and_license.txt
