match_number,group,home_team,away_team,home_goals,away_goals,source
1,A,Mexico,South Africa,2,0,user_reported_group_stage
2,A,Korea Republic,Czechia,2,1,user_reported_group_stage
3,B,Canada,Bosnia and Herzegovina,1,1,user_reported_group_stage
4,D,USA,Paraguay,4,1,user_reported_group_stage
5,B,Qatar,Switzerland,1,1,user_reported_group_stage
6,C,Brazil,Morocco,1,1,user_reported_group_stage
7,C,Haiti,Scotland,0,1,user_reported_group_stage
8,D,Australia,Türkiye,2,0,user_reported_group_stage
9,E,Germany,Curaçao,7,1,user_reported_group_stage
10,F,Netherlands,Japan,2,2,user_reported_group_stage
11,E,Côte d'Ivoire,Ecuador,1,0,user_reported_group_stage
12,F,Sweden,Tunisia,5,1,user_reported_group_stage
13,H,Spain,Cabo Verde,0,0,user_reported_group_stage
14,G,Belgium,Egypt,1,1,user_reported_group_stage
15,H,Saudi Arabia,Uruguay,1,1,user_reported_group_stage
16,G,IR Iran,New Zealand,2,2,user_reported_group_stage
17,I,France,Senegal,3,1,user_reported_group_stage
18,I,Iraq,Norway,1,4,user_reported_group_stage
19,J,Argentina,Algeria,3,0,user_reported_group_stage
20,J,Austria,Jordan,3,1,user_reported_group_stage
21,K,Portugal,Congo DR,1,1,user_reported_group_stage
22,L,England,Croatia,4,2,user_reported_group_stage
23,L,Ghana,Panama,1,0,user_reported_group_stage
24,K,Uzbekistan,Colombia,1,3,user_reported_group_stage
25,A,Czechia,South Africa,1,1,user_reported_group_stage
26,B,Switzerland,Bosnia and Herzegovina,4,1,user_reported_group_stage
27,B,Canada,Qatar,6,0,user_reported_group_stage
28,A,Mexico,Korea Republic,1,0,user_reported_group_stage
29,D,USA,Australia,2,0,user_reported_group_stage
30,C,Scotland,Morocco,0,1,user_reported_group_stage
31,C,Brazil,Haiti,3,0,user_reported_group_stage
32,D,Türkiye,Paraguay,0,1,user_reported_group_stage
33,F,Netherlands,Sweden,5,1,user_reported_group_stage
34,E,Germany,Côte d'Ivoire,2,1,user_reported_group_stage
35,E,Ecuador,Curaçao,0,0,user_reported_group_stage
36,F,Tunisia,Japan,0,4,user_reported_group_stage
37,H,Spain,Saudi Arabia,4,0,user_reported_group_stage
38,G,Belgium,IR Iran,0,0,user_reported_group_stage
39,H,Uruguay,Cabo Verde,2,2,user_reported_group_stage
40,G,New Zealand,Egypt,1,3,user_reported_group_stage
41,J,Argentina,Austria,2,0,user_reported_group_stage
42,I,France,Iraq,3,0,user_reported_group_stage
43,I,Norway,Senegal,3,2,user_reported_group_stage
44,J,Jordan,Algeria,1,2,user_reported_group_stage
45,K,Portugal,Uzbekistan,5,0,user_reported_group_stage
46,L,England,Ghana,0,0,user_reported_group_stage
47,L,Panama,Croatia,0,1,user_reported_group_stage
48,K,Colombia,Congo DR,1,0,user_reported_group_stage
49,B,Switzerland,Canada,2,1,user_reported_group_stage
50,B,Bosnia and Herzegovina,Qatar,3,1,user_reported_group_stage
51,C,Scotland,Brazil,0,3,user_reported_group_stage
52,C,Morocco,Haiti,4,2,user_reported_group_stage
53,A,Czechia,Mexico,0,3,user_reported_group_stage
54,A,South Africa,Korea Republic,1,0,user_reported_group_stage
55,E,Curaçao,Côte d'Ivoire,0,2,user_reported_group_stage
56,E,Ecuador,Germany,2,1,user_reported_group_stage
57,F,Japan,Sweden,1,1,user_reported_group_stage
58,F,Tunisia,Netherlands,1,3,user_reported_group_stage
59,D,Türkiye,USA,3,2,user_reported_group_stage
60,D,Paraguay,Australia,0,0,user_reported_group_stage
61,I,Norway,France,1,4,user_reported_group_stage
62,I,Senegal,Iraq,5,0,user_reported_group_stage
63,H,Cabo Verde,Saudi Arabia,0,0,user_reported_group_stage
64,H,Uruguay,Spain,0,1,user_reported_group_stage
65,G,Egypt,IR Iran,1,1,user_reported_group_stage
66,G,New Zealand,Belgium,1,5,user_reported_group_stage
67,L,Panama,England,0,2,user_reported_group_stage
68,L,Croatia,Ghana,2,1,user_reported_group_stage
69,K,Colombia,Portugal,2,2,user_reported_group_stage
70,K,Congo DR,Uzbekistan,3,1,user_reported_group_stage
71,J,Algeria,Austria,3,3,user_reported_group_stage
72,J,Jordan,Argentina,1,3,user_reported_group_stage
