match_number,kickoff_at,home,away,home_goals_90,away_goals_90,extra_time_home_goals,extra_time_away_goals,winner,resolution,actual_1x2,actual_home_advanced,historical_p_home_90,historical_p_draw_90,historical_p_away_90,historical_score_probability,historical_p_home_advances,group_form_p_home_90,group_form_p_draw_90,group_form_p_away_90,group_form_score_probability,group_form_p_home_advances
73,2026-06-28T22:00:00+00:00,South Africa,Canada,0,1,0,0,Canada,90min,away,0,0.13797190462619582,0.2432160595975302,0.618812035776274,0.10904220467609851,0.22986142352919053,0.13826256876671714,0.24405476365486034,0.6176826675784225,0.11671068525465109,0.23140848968287703
76,2026-06-29T18:00:00+00:00,Brazil,Japan,2,1,0,0,Brazil,90min,home,1,0.5068685538476025,0.28643454717997374,0.20669689897242366,0.09272262520199033,0.6718691899416998,0.5054620794310927,0.2869991023118705,0.20753881825703682,0.09388758056716745,0.6694397105502777
74,2026-06-29T20:30:00+00:00,Germany,Paraguay,1,1,0,0,Paraguay,penalties,draw,0,0.5063475893821647,0.27367512921983644,0.21997728139799877,0.12864219911831035,0.6684232001836421,0.5120142590146587,0.27122246316517,0.21676327782017132,0.12599453181266126,0.6779562743032087
75,2026-06-30T03:00:00+00:00,Netherlands,Morocco,1,1,0,0,Morocco,penalties,draw,0,0.4567837401570407,0.2940808417348453,0.24913541810811404,0.1363632506913003,0.6229692081535165,0.45792943684625603,0.29243614536415635,0.24963441778958756,0.13043555343895102,0.6238685306882518
78,2026-06-30T18:00:00+00:00,Côte d'Ivoire,Norway,1,2,0,0,Norway,90min,away,0,0.18399287340844986,0.23855818779403334,0.5774489387975169,0.09873693811077534,0.28114991162953384,0.18755353702085736,0.2389609298986656,0.5734855330804771,0.10267598509312645,0.2883809580807961
77,2026-06-30T21:00:00+00:00,France,Sweden,3,0,0,0,France,90min,home,1,0.7204124056292401,0.1834927617140964,0.09609483265666349,0.09743605670159308,0.8389835066673266,0.7265376984078102,0.1791960102892928,0.09426629130289693,0.09418186529101388,0.846802115907409
79,2026-07-01T03:00:00+00:00,Mexico,Ecuador,2,0,0,0,Mexico,90min,home,1,0.2864149200890504,0.28685711807252157,0.4267279618384281,0.04743081238981549,0.4247167062882456,0.29433787432817166,0.2905177700629406,0.4151443556088878,0.05982760796505382,0.4447561642297665
80,2026-07-01T16:00:00+00:00,England,Congo DR,2,1,0,0,England,90min,home,1,0.7807182740371599,0.1430114013480124,0.07627032461482777,0.07621008444026965,0.8810981767468575,0.7724114343690409,0.14827685702209395,0.0793117086088651,0.09033458119009585,0.8711082517386578
82,2026-07-01T23:00:00+00:00,Belgium,Senegal,2,2,1,0,Belgium,extra_time,draw,1,0.4021959222894305,0.28627162602893746,0.31153245168163207,0.059599465770431015,0.556274772495911,0.40102477430150585,0.285042284340905,0.3139329413575892,0.06782930538719398,0.5526491091564365
81,2026-07-02T03:00:00+00:00,USA,Bosnia and Herzegovina,2,0,0,0,USA,90min,home,1,0.6103419757485345,0.2543385064271939,0.1353195178242716,0.11443935653666419,0.7622308846188779,0.6183356699753397,0.2498249734280383,0.13183935659662194,0.09996958202462092,0.7744189306509293
84,2026-07-02T22:00:00+00:00,Spain,Austria,3,0,0,0,Spain,90min,home,1,0.7404733219641337,0.17695614456912692,0.08257053346673934,0.10443968455547686,0.8568634465358458,0.7381763264261204,0.17845509522510816,0.08336857834877143,0.10309136733949206,0.8539625160226751
83,2026-07-02T23:00:00+00:00,Portugal,Croatia,2,1,0,0,Portugal,90min,home,1,0.38766068254220704,0.2966598695115721,0.315679447946221,0.08300696316250131,0.5446059753909729,0.3939597658844434,0.2945977981411808,0.31144243597437576,0.0801307639032486,0.5558538647187128
85,2026-07-03T06:00:00+00:00,Switzerland,Algeria,2,0,0,0,Switzerland,90min,home,1,0.5207448306729175,0.2872601114875048,0.1919950578395777,0.09120880800520353,0.6828576012607486,0.5231931015151897,0.28524437393162916,0.19156252455318118,0.08209783154239046,0.686116802265496
88,2026-07-03T19:00:00+00:00,Australia,Egypt,1,1,0,0,Egypt,penalties,draw,0,0.48939193543280307,0.27422704916032004,0.23638101540687698,0.12723045988303894,0.6365334315421551,0.48541551091255536,0.2768625191720192,0.23772196991542544,0.13234680834968374,0.6310132537791298
86,2026-07-03T22:00:00+00:00,Argentina,Cape Verde Islands,1,1,2,1,Argentina,extra_time,draw,1,0.8642847629640626,0.08995565770579136,0.045759579330146,0.03704221451490099,0.9324156303493726,0.8587459374323454,0.09457148248288007,0.04668258008477455,0.03692647553731168,0.927084246537898
87,2026-07-04T02:30:00+00:00,Colombia,Ghana,1,0,0,0,Colombia,90min,home,1,0.7620826823987479,0.1465697174851908,0.09134760011606136,0.10050286381879792,0.8600478353494502,0.7533429312009577,0.1519404667536195,0.09471660204542283,0.13935844224247437,0.8497701221309361
