ablation,classifier_weight,poisson_weight,draw_floor,draw_ceiling,objective,log_loss,rps,brier,ece,draw_recall,draw_expected_rate,draw_actual_rate,draw_gap,entropy,randomness_penalty
subset__xgb+logistic,0.88,0.12,0.04,0.46,0.803398,0.738753,0.136259,0.443075,0.013418,0.029126,0.239182,0.240467,0.001285,0.687038,0.0
subset__xgb+logistic+count_poisson,0.88,0.12,0.04,0.46,0.807506,0.742102,0.136448,0.443433,0.019122,0.035599,0.238637,0.240467,0.00183,0.700475,0.0
runtime_policy,0.88,0.12,0.04,0.46,0.807856,0.740045,0.136613,0.443882,0.017842,0.021036,0.233025,0.240467,0.007442,0.678396,0.0
subset__xgb+competitive+logistic,0.88,0.12,0.04,0.46,0.807856,0.740045,0.136613,0.443882,0.017842,0.021036,0.233025,0.240467,0.007442,0.678396,0.0
subset__competitive+logistic,0.88,0.12,0.04,0.46,0.808864,0.742142,0.137027,0.445029,0.015477,0.022654,0.245524,0.240467,0.005058,0.697072,0.0
subset__xgb+logistic+poisson,0.88,0.12,0.04,0.46,0.809181,0.743142,0.136726,0.44404,0.023216,0.050162,0.238178,0.240467,0.002289,0.699648,0.0
subset__xgb+competitive+logistic+count_poisson,0.88,0.12,0.04,0.46,0.81025,0.742402,0.136707,0.444076,0.020605,0.02589,0.233362,0.240467,0.007105,0.689984,0.0
subset__xgb+competitive+logistic+poisson,0.88,0.12,0.04,0.46,0.81115,0.743151,0.136902,0.444503,0.019656,0.032362,0.233012,0.240467,0.007455,0.689398,0.0
subset__xgb+logistic+poisson+count_poisson,0.88,0.12,0.04,0.46,0.812367,0.746023,0.136952,0.444569,0.02363,0.053398,0.237753,0.240467,0.002714,0.707764,0.0
subset__competitive+logistic+count_poisson,0.88,0.12,0.04,0.46,0.812747,0.746827,0.137181,0.445147,0.018263,0.043689,0.242959,0.240467,0.002492,0.714662,0.0
subset__xgb+competitive+logistic+poisson+count_poisson,0.88,0.12,0.04,0.46,0.813721,0.745338,0.137035,0.44482,0.025007,0.043689,0.23325,0.240467,0.007217,0.697298,0.0
subset__xgb,0.88,0.12,0.04,0.46,0.814112,0.7415,0.136972,0.444903,0.023068,0.019417,0.224689,0.240467,0.015778,0.663939,0.0
xgb_only_stack,0.88,0.12,0.04,0.46,0.814112,0.7415,0.136972,0.444903,0.023068,0.019417,0.224689,0.240467,0.015778,0.663939,0.0
subset__competitive+logistic+poisson,0.88,0.12,0.04,0.46,0.814478,0.748584,0.137684,0.446233,0.019285,0.061489,0.242216,0.240467,0.001749,0.713119,0.0
subset__xgb+count_poisson,0.88,0.12,0.04,0.46,0.815438,0.744877,0.137016,0.444999,0.017911,0.027508,0.22672,0.240467,0.013747,0.68416,0.0
subset__xgb+poisson,0.88,0.12,0.04,0.46,0.816907,0.746031,0.137328,0.445689,0.017572,0.042071,0.226212,0.240467,0.014255,0.683218,0.0
subset__competitive+logistic+poisson+count_poisson,0.88,0.12,0.04,0.46,0.817097,0.752055,0.137896,0.446787,0.016359,0.050162,0.240526,0.240467,5.9e-05,0.721194,0.0
subset__xgb+competitive,0.88,0.12,0.04,0.46,0.817276,0.743031,0.137328,0.445792,0.026026,0.021036,0.222116,0.240467,0.018351,0.66066,0.0
subset__xgb+competitive+count_poisson,0.88,0.12,0.04,0.46,0.817409,0.7451,0.137282,0.445665,0.021536,0.024272,0.223957,0.240467,0.01651,0.676323,0.0
subset__xgb+competitive+poisson,0.88,0.12,0.04,0.46,0.818374,0.745899,0.137493,0.446134,0.020191,0.030744,0.223587,0.240467,0.01688,0.675681,0.0
subset__xgb+poisson+count_poisson,0.88,0.12,0.04,0.46,0.819159,0.748866,0.137461,0.446012,0.016556,0.043689,0.227538,0.240467,0.012929,0.695016,0.0
subset__xgb+competitive+poisson+count_poisson,0.88,0.12,0.04,0.46,0.819468,0.747898,0.137529,0.446212,0.018553,0.040453,0.224951,0.240467,0.015516,0.686132,0.0
subset__xgb+competitive+logistic+elo,0.88,0.12,0.04,0.46,0.82168,0.752777,0.137401,0.445698,0.022207,0.064725,0.231843,0.240467,0.008624,0.73015,0.0
subset__xgb+competitive+logistic+elo+count_poisson,0.88,0.12,0.04,0.46,0.822707,0.754006,0.137534,0.446026,0.020316,0.058252,0.2321,0.240467,0.008367,0.732073,0.0
subset__xgb+competitive+logistic+elo+poisson,0.88,0.12,0.04,0.46,0.823878,0.75469,0.137747,0.446472,0.023744,0.061489,0.231798,0.240467,0.008669,0.731417,0.0
subset__xgb+logistic+elo,0.88,0.12,0.04,0.46,0.824878,0.757131,0.137955,0.44676,0.029642,0.071197,0.236535,0.240467,0.003932,0.748561,0.0
subset__xgb+competitive+logistic+elo+poisson+count_poisson,0.88,0.12,0.04,0.46,0.825046,0.755724,0.137858,0.44678,0.025738,0.056634,0.231974,0.240467,0.008493,0.732913,0.0
subset__xgb+logistic+elo+count_poisson,0.88,0.12,0.04,0.46,0.825886,0.757958,0.138026,0.447004,0.029455,0.063107,0.236146,0.240467,0.00432,0.748306,0.0
subset__competitive+count_poisson,0.88,0.12,0.04,0.46,0.826253,0.753101,0.138198,0.448205,0.021036,0.029126,0.222372,0.240467,0.018095,0.689829,0.0
subset__xgb+logistic+elo+poisson,0.88,0.12,0.04,0.46,0.826908,0.758831,0.138317,0.447609,0.027821,0.067961,0.235764,0.240467,0.004702,0.747416,0.0
subset__competitive,0.88,0.12,0.04,0.46,0.827442,0.749181,0.138607,0.449319,0.032239,0.017799,0.216177,0.240467,0.02429,0.651358,0.0
competitive_only_stack,0.88,0.12,0.04,0.46,0.827442,0.749181,0.138607,0.449319,0.032239,0.017799,0.216177,0.240467,0.02429,0.651358,0.0
subset__xgb+logistic+elo+poisson+count_poisson,0.88,0.12,0.04,0.46,0.827762,0.759539,0.138371,0.447834,0.027766,0.059871,0.23547,0.240467,0.004996,0.74721,0.0
subset__xgb+competitive+elo,0.88,0.12,0.04,0.46,0.828275,0.75531,0.137625,0.446658,0.022776,0.055016,0.222558,0.240467,0.017909,0.7222,0.0
subset__competitive+poisson,0.88,0.12,0.04,0.46,0.828871,0.755084,0.138806,0.449517,0.021111,0.033981,0.221465,0.240467,0.019002,0.687894,0.0
subset__xgb+competitive+elo+count_poisson,0.88,0.12,0.04,0.46,0.829164,0.756481,0.137772,0.446997,0.025374,0.045307,0.223869,0.240467,0.016598,0.725178,0.0
subset__xgb+competitive+elo+poisson,0.88,0.12,0.04,0.46,0.829749,0.757205,0.138002,0.44748,0.02072,0.048544,0.223533,0.240467,0.016934,0.724463,0.0
subset__competitive+poisson+count_poisson,0.88,0.12,0.04,0.46,0.830313,0.757985,0.138795,0.449566,0.018565,0.030744,0.224452,0.240467,0.016015,0.703814,0.0
subset__xgb+competitive+elo+poisson+count_poisson,0.88,0.12,0.04,0.46,0.830398,0.758153,0.138115,0.447769,0.021807,0.040453,0.224566,0.240467,0.0159,0.726756,0.0
