block_type,metric,block_count,samples,mean,lower_95,upper_95,width_95
ano,log_loss,3,400,0.883172,0.840187,0.914313,0.074126
ano,rps,3,400,0.171324,0.163864,0.176877,0.013013
ano,brier,3,400,0.522729,0.496262,0.541851,0.045589
ano,ece,3,400,0.045484,0.031927,0.075503,0.043576
ano,draw_gap,3,400,0.018278,0.003134,0.031983,0.028849
torneio,log_loss,48,400,0.885933,0.834244,0.935015,0.100772
torneio,rps,48,400,0.171936,0.161036,0.183638,0.022602
torneio,brier,48,400,0.524407,0.490931,0.556265,0.065334
torneio,ece,48,400,0.042703,0.029384,0.063034,0.03365
torneio,draw_gap,48,400,0.019318,0.004297,0.035033,0.030736
