section,label,bin_low,bin_high,count,avg_pred,empirical_rate,abs_gap
confianca,argmax,0.3,0.4,184,0.369369,0.336957,0.032412
confianca,argmax,0.4,0.5,356,0.453028,0.452247,0.000781
confianca,argmax,0.5,0.6,420,0.548578,0.547619,0.000959
confianca,argmax,0.6,0.7,451,0.650696,0.592018,0.058679
confianca,argmax,0.7,0.8,443,0.748507,0.765237,0.01673
confianca,argmax,0.8,0.9,490,0.846653,0.842857,0.003796
confianca,argmax,0.9,1.0,226,0.935946,0.951327,0.015382
classe,casa,0.0,0.1,105,0.043513,0.038095,0.005418
classe,casa,0.1,0.2,144,0.155793,0.125,0.030793
classe,casa,0.2,0.3,157,0.25339,0.254777,0.001388
classe,casa,0.3,0.4,174,0.353094,0.310345,0.042749
classe,casa,0.4,0.5,221,0.455134,0.434389,0.020744
classe,casa,0.5,0.6,313,0.549349,0.533546,0.015803
classe,casa,0.6,0.7,391,0.652519,0.58312,0.069399
classe,casa,0.7,0.8,419,0.748573,0.76611,0.017537
classe,casa,0.8,0.9,452,0.845787,0.845133,0.000654
classe,casa,0.9,1.0,194,0.936283,0.943299,0.007016
classe,empate,0.0,0.1,278,0.062583,0.039568,0.023014
classe,empate,0.1,0.2,685,0.151234,0.160584,0.00935
classe,empate,0.2,0.3,946,0.259361,0.278013,0.018652
classe,empate,0.3,0.4,513,0.327582,0.298246,0.029336
classe,empate,0.4,0.5,148,0.435656,0.547297,0.111641
classe,fora,0.0,0.1,1438,0.028344,0.020862,0.007482
classe,fora,0.1,0.2,368,0.143891,0.168478,0.024587
classe,fora,0.2,0.3,208,0.249519,0.298077,0.048558
classe,fora,0.3,0.4,170,0.345232,0.382353,0.037121
classe,fora,0.4,0.5,125,0.449421,0.456,0.006579
classe,fora,0.5,0.6,107,0.546322,0.588785,0.042463
classe,fora,0.6,0.7,60,0.638816,0.65,0.011184
classe,fora,0.7,0.8,24,0.747355,0.75,0.002645
classe,fora,0.8,0.9,38,0.856956,0.815789,0.041166
classe,fora,0.9,1.0,32,0.933898,1.0,0.066102
