rho,hybrid_objective,hybrid_log_loss,hybrid_rps,hybrid_draw_gap,poisson_only_log_loss,poisson_only_rps,poisson_only_draw_gap
-0.18,0.970172,0.882549,0.171065,0.017093,0.890833,0.172804,0.003862
-0.16,0.970429,0.882591,0.17107,0.017565,0.890805,0.172815,0.007793
-0.14,0.970709,0.882635,0.171074,0.018037,0.890885,0.172835,0.011724
-0.12,0.9709,0.88268,0.171079,0.018508,0.891072,0.172863,0.015654
-0.1,0.971194,0.882727,0.171084,0.01898,0.891368,0.1729,0.019585
-0.08,0.971502,0.882776,0.171089,0.019452,0.891774,0.172945,0.023516
-0.06,0.971684,0.882826,0.171095,0.019923,0.892292,0.173,0.027447
-0.04,0.971882,0.882877,0.1711,0.020395,0.892923,0.173062,0.031378
-0.02,0.972136,0.88293,0.171106,0.020867,0.89367,0.173134,0.035309
0.0,0.972337,0.882985,0.171111,0.021338,0.894534,0.173214,0.03924
0.02,0.972553,0.883041,0.171117,0.02181,0.895517,0.173302,0.043171
0.04,0.97283,0.883099,0.171123,0.022282,0.896623,0.173399,0.047102
0.06,0.973096,0.883159,0.171129,0.022754,0.897854,0.173505,0.051033
0.08,0.973376,0.88322,0.171135,0.023225,0.899214,0.17362,0.054964
