team,group,pts,wins,gf,ga,gd,model_rating,fifa_rank,fair_play_score,fair_play_available,fifa_rank_available,fair_play_tiebreak,fifa_rank_tiebreak,tiebreak_fallback,h2h_pts,h2h_gd,h2h_gf,rank
Mexico,A,9,3,7,1,6,1948.1312682627788,15.0,,False,True,not_required,not_required,not_required,0,0,0,1
Korea Republic,A,4,1,7,5,2,1900.5219142163742,22.0,,False,True,not_required,not_required,not_required,0,0,0,2
Czechia,A,3,1,7,7,0,1786.011774048651,34.0,,False,True,not_required,not_required,not_required,0,0,0,3
South Africa,A,1,0,3,11,-8,1677.2773504975003,59.0,,False,True,not_required,not_required,not_required,0,0,0,4
Canada,B,5,1,4,2,2,1902.879900549293,48.0,,False,True,not_required,not_required,not_required,1,0,1,1
Switzerland,B,5,1,4,3,1,1946.9791427217904,19.0,,False,True,not_required,not_required,not_required,1,0,1,2
Bosnia and Herzegovina,B,3,1,6,4,2,1656.0971956722608,75.0,,False,True,not_required,not_required,not_required,0,0,0,3
Qatar,B,2,0,2,7,-5,1602.3447911504002,35.0,,False,True,not_required,not_required,not_required,0,0,0,4
Scotland,C,7,2,7,3,4,1822.2344923016426,39.0,,False,True,not_required,not_required,not_required,0,0,0,1
Brazil,C,6,2,7,3,4,2058.4867105957132,4.0,,False,True,not_required,not_required,not_required,0,0,0,2
Morocco,C,3,1,4,7,-3,1970.9592808058994,12.0,,False,True,not_required,not_required,not_required,0,0,0,3
Haiti,C,1,0,1,6,-5,1661.136123400485,86.0,,False,True,not_required,not_required,not_required,0,0,0,4
Türkiye,D,6,2,3,4,-1,1940.202373856794,42.0,,False,True,not_required,not_required,not_required,3,1,1,1
USA,D,6,2,4,1,3,1877.6305361888078,11.0,,False,True,not_required,not_required,not_required,0,-1,0,2
Paraguay,D,3,1,6,5,1,1904.7729504801334,58.0,,False,True,not_required,not_required,not_required,3,5,5,3
Australia,D,3,1,3,6,-3,1911.983285555169,23.0,,False,True,not_required,not_required,not_required,0,-5,0,4
Ecuador,E,7,2,6,2,4,2014.6418760513054,30.0,,False,True,not_required,not_required,not_required,0,0,0,1
Germany,E,4,1,7,3,4,2015.39501541998,16.0,,False,True,not_required,not_required,not_required,0,0,0,2
Côte d'Ivoire,E,3,0,2,2,0,1801.69490991007,37.0,,False,True,not_required,not_required,not_required,0,0,0,3
Curaçao,E,1,0,0,8,-8,1592.1813734020386,87.0,,False,True,not_required,not_required,not_required,0,0,0,4
Netherlands,F,7,2,7,2,5,2033.4121343587822,7.0,,False,True,not_required,not_required,not_required,0,0,0,1
Japan,F,6,2,9,7,2,2027.0661024779545,17.0,,False,True,not_required,not_required,not_required,0,0,0,2
Sweden,F,3,1,2,6,-4,1784.0338875926152,28.0,,False,True,not_required,not_required,not_required,0,0,0,3
Tunisia,F,1,0,4,7,-3,1782.380517542108,41.0,,False,True,not_required,not_required,not_required,0,0,0,4
Belgium,G,7,2,10,3,7,1961.4737699775642,3.0,,False,True,not_required,not_required,not_required,0,0,0,1
New Zealand,G,4,1,5,5,0,1757.552009052976,107.0,,False,True,not_required,not_required,not_required,0,0,0,2
Egypt,G,3,1,5,11,-6,1818.7194653243487,36.0,,False,True,not_required,not_required,not_required,3,2,2,3
IR Iran,G,3,1,3,4,-1,1884.0328034191282,20.0,,False,True,not_required,not_required,not_required,0,-2,0,4
Spain,H,5,1,6,2,4,2199.94604263834,8.0,,False,True,not_required,not_required,not_required,1,0,1,1
Uruguay,H,5,1,4,1,3,1973.287801238347,14.0,,False,True,not_required,not_required,not_required,1,0,1,2
Cape Verde Islands,H,2,0,3,6,-3,1650.986657004041,65.0,,False,True,not_required,not_required,not_required,1,0,2,3
Saudi Arabia,H,2,0,2,6,-4,1706.642189344425,56.0,,False,True,not_required,not_required,not_required,1,0,2,4
Norway,I,9,3,7,2,5,1951.2915787646348,46.0,,False,True,not_required,not_required,not_required,0,0,0,1
France,I,6,2,5,2,3,2147.0974478482713,2.0,,False,True,not_required,not_required,not_required,0,0,0,2
Senegal,I,3,1,4,6,-2,1970.256424567076,18.0,,False,True,not_required,not_required,not_required,0,0,0,3
Iraq,I,0,0,1,7,-6,1763.8738876863492,55.0,,False,True,not_required,not_required,not_required,0,0,0,4
Argentina,J,7,2,5,2,3,2167.4349885023803,1.0,,False,True,not_required,not_required,not_required,0,0,0,1
Jordan,J,4,1,4,5,-1,1786.4648474758878,68.0,,False,True,not_required,not_required,not_required,0,0,0,2
Algeria,J,3,1,2,3,-1,1876.1401653216592,44.0,,False,True,not_required,not_required,not_required,3,1,1,3
Austria,J,3,1,2,3,-1,1885.362309142614,25.0,,False,True,not_required,not_required,not_required,0,-1,0,4
Colombia,K,7,2,7,1,6,2037.4229086254404,12.0,,False,True,not_required,not_required,not_required,0,0,0,1
Portugal,K,6,2,8,4,4,2028.7557840501108,6.0,,False,True,not_required,not_required,not_required,0,0,0,2
Uzbekistan,K,2,0,4,8,-4,1855.3674564138955,62.0,,False,True,not_required,not_required,not_required,0,0,0,3
Congo DR,K,1,0,2,8,-6,1752.3277459642186,61.0,,False,True,not_required,not_required,not_required,0,0,0,4
England,L,9,3,10,0,10,2067.647285283183,5.0,,False,True,not_required,not_required,not_required,0,0,0,1
Croatia,L,4,1,4,5,-1,1999.5062857269477,9.0,,False,True,not_required,not_required,not_required,0,0,0,2
Ghana,L,3,1,2,6,-4,1643.3268779904056,64.0,,False,True,not_required,not_required,not_required,0,0,0,3
Panama,L,1,0,3,8,-5,1844.8443828579254,43.0,,False,True,not_required,not_required,not_required,0,0,0,4
