experiment,family,candidate,calibration_rows,evaluation_rows,cal_objective,eval_objective,eval_objective_delta_vs_identity,eval_log_loss,eval_log_loss_delta_vs_identity,eval_ece,eval_draw_gap,eval_accuracy,promoted,decision,note,eval_objective_delta_vs_runtime,eval_log_loss_delta_vs_runtime
advanced_calibration,temperature,T=1.05,1800,1699,0.999653,0.936606,-0.002008,0.856819,0.000677,0.051508,0.0005,0.589759,False,not_promoted,"nao entrou: nenhum calibrador venceu o runtime em objetivo, log_loss e empate no split temporal 2024->2025+",,
advanced_calibration,identity,runtime_sem_calibracao_extra,1800,1699,1.004288,0.938614,0.0,0.856142,0.0,0.064566,0.004423,0.589759,False,candidate,referencia do runtime atual,,
advanced_calibration,temperature,T=1.00,1800,1699,1.004288,0.938614,0.0,0.856142,0.0,0.064566,0.004423,0.589759,False,candidate,,,
advanced_calibration,temperature,T=1.10,1800,1699,0.99637,0.939322,0.000708,0.858061,0.001919,0.045113,0.005075,0.589759,False,candidate,,,
advanced_calibration,temperature,T=0.95,1800,1699,1.010219,0.939833,0.001219,0.856183,4.1e-05,0.050709,0.009728,0.589759,False,candidate,,,
advanced_calibration,temperature,T=0.90,1800,1699,1.017728,0.942949,0.004335,0.857135,0.000993,0.045984,0.015455,0.589759,False,candidate,,,
advanced_calibration,temperature,T=1.15,1800,1699,0.994114,0.943169,0.004555,0.859748,0.003606,0.048366,0.009331,0.589759,False,candidate,,,
advanced_calibration,temperature,T=1.20,1800,1699,0.992875,0.947148,0.008534,0.861784,0.005642,0.049945,0.013299,0.589759,False,candidate,,,
advanced_calibration,temperature,T=0.85,1800,1699,1.02717,0.94821,0.009596,0.859244,0.003102,0.050029,0.021647,0.589759,False,candidate,,,
advanced_calibration,vector_scaling,C=10.00_plain,1800,1699,0.98397,0.950354,0.01174,0.859098,0.002956,0.043056,0.028985,0.590936,False,candidate,,,
advanced_calibration,vector_scaling,C=5.00_plain,1800,1699,0.983939,0.950407,0.011793,0.859106,0.002964,0.04377,0.028961,0.590936,False,candidate,,,
advanced_calibration,vector_scaling,C=2.00_plain,1800,1699,0.983921,0.950535,0.011921,0.859134,0.002992,0.045442,0.028891,0.590936,False,candidate,,,
advanced_calibration,vector_scaling,C=1.00_plain,1800,1699,0.983865,0.950629,0.012015,0.85919,0.003048,0.046552,0.028787,0.58917,False,candidate,,,
advanced_calibration,vector_scaling,C=0.50_plain,1800,1699,0.984164,0.950675,0.012061,0.859316,0.003174,0.046656,0.028601,0.587993,False,candidate,,,
advanced_calibration,vector_scaling,C=0.20_plain,1800,1699,0.98459,0.950793,0.012179,0.859775,0.003633,0.04434,0.028249,0.587993,False,candidate,,,
advanced_calibration,temperature,T=1.25,1800,1699,0.992663,0.950868,0.012254,0.864092,0.00795,0.045842,0.017001,0.589759,False,candidate,,,
advanced_calibration,dirichlet_logistic,C=0.50_plain,1800,1699,0.983768,0.951077,0.012463,0.859952,0.00381,0.042255,0.028768,0.590347,False,candidate,,,
advanced_calibration,dirichlet_logistic,C=0.20_plain,1800,1699,0.984001,0.951158,0.012544,0.860063,0.003921,0.044744,0.028303,0.589759,False,candidate,,,
advanced_calibration,dirichlet_logistic,C=2.00_plain,1800,1699,0.983892,0.951272,0.012658,0.86007,0.003928,0.0408,0.029126,0.590347,False,candidate,,,
advanced_calibration,dirichlet_logistic,C=1.00_plain,1800,1699,0.983774,0.951339,0.012725,0.860003,0.003861,0.043479,0.028978,0.589759,False,candidate,,,
advanced_calibration,dirichlet_logistic,C=5.00_plain,1800,1699,0.983831,0.951397,0.012783,0.860123,0.003981,0.040952,0.029239,0.589759,False,candidate,,,
advanced_calibration,dirichlet_logistic,C=10.00_plain,1800,1699,0.983841,0.951432,0.012818,0.860078,0.003936,0.042023,0.029227,0.589759,False,candidate,,,
advanced_calibration,vector_scaling,C=0.10_plain,1800,1699,0.985193,0.951575,0.012961,0.860529,0.004387,0.046455,0.027884,0.587993,False,candidate,,,
advanced_calibration,dirichlet_logistic,C=0.10_plain,1800,1699,0.98481,0.951583,0.012969,0.86047,0.004328,0.04715,0.027904,0.588582,False,candidate,,,
advanced_calibration,dirichlet_logistic,C=0.05_plain,1800,1699,0.985502,0.953349,0.014735,0.861321,0.005179,0.059818,0.02759,0.58917,False,candidate,,,
advanced_calibration,vector_scaling,C=0.05_plain,1800,1699,0.986502,0.953409,0.014795,0.861814,0.005672,0.054403,0.027549,0.587404,False,candidate,,,
advanced_calibration,dirichlet_logistic,C=0.03_plain,1800,1699,0.986389,0.954723,0.016109,0.862391,0.006249,0.064171,0.027324,0.587993,False,candidate,,,
advanced_calibration,vector_scaling,C=0.03_plain,1800,1699,0.987349,0.955186,0.016572,0.863308,0.007166,0.058177,0.02729,0.587404,False,candidate,,,
advanced_calibration,temperature,T=1.30,1800,1699,0.992927,0.955653,0.017039,0.866607,0.010465,0.053408,0.02046,0.589759,False,candidate,,,
advanced_calibration,temperature,T=0.80,1800,1699,1.038995,0.956235,0.017621,0.862828,0.006686,0.066118,0.028354,0.589759,False,candidate,,,
advanced_calibration,temperature,T=1.35,1800,1699,0.993565,0.96043,0.021816,0.869281,0.013139,0.059746,0.023696,0.589759,False,candidate,,,
advanced_calibration,dirichlet_logistic,C=0.01_plain,1800,1699,0.991327,0.960463,0.021849,0.86791,0.011768,0.063689,0.026884,0.58917,False,candidate,,,
advanced_calibration,vector_scaling,C=0.01_plain,1800,1699,0.991506,0.961652,0.023038,0.869766,0.013624,0.053792,0.026928,0.58917,False,candidate,,,
advanced_calibration,isotonic,classwise_isotonic,1800,1699,0.965774,0.962956,0.024342,0.872466,0.016324,0.036791,0.028238,0.589759,False,candidate,"calibracao por classe, renormalizada",,
advanced_calibration,temperature,T=1.40,1800,1699,0.994093,0.965509,0.026895,0.872071,0.015929,0.069262,0.026727,0.589759,False,candidate,,,
advanced_calibration,temperature,T=0.75,1800,1699,1.053781,0.966048,0.027434,0.868301,0.012159,0.076348,0.035631,0.589759,False,candidate,,,
advanced_calibration,temperature,T=1.45,1800,1699,0.996282,0.970432,0.031818,0.874945,0.018803,0.076567,0.02957,0.589759,False,candidate,,,
advanced_calibration,temperature,T=1.50,1800,1699,0.999973,0.975139,0.036525,0.877876,0.021734,0.081209,0.032239,0.589759,False,candidate,,,
advanced_calibration,temperature,T=0.70,1800,1699,1.072478,0.978542,0.039928,0.87621,0.020068,0.083418,0.043541,0.589759,False,candidate,,,
advanced_calibration,vector_scaling,C=0.50_balanced,1800,1699,1.032454,1.005544,0.06693,0.883362,0.02722,0.053556,0.095856,0.567981,False,candidate,,,
advanced_calibration,vector_scaling,C=1.00_balanced,1800,1699,1.032012,1.00556,0.066946,0.883322,0.02718,0.053316,0.095986,0.567981,False,candidate,,,
advanced_calibration,vector_scaling,C=0.20_balanced,1800,1699,1.032998,1.005566,0.066952,0.883615,0.027473,0.052468,0.095591,0.570924,False,candidate,,,
advanced_calibration,vector_scaling,C=2.00_balanced,1800,1699,1.032107,1.005686,0.067072,0.883317,0.027175,0.054376,0.096063,0.566804,False,candidate,,,
advanced_calibration,dirichlet_logistic,C=0.20_balanced,1800,1699,1.032384,1.005866,0.067252,0.883931,0.027789,0.051925,0.095637,0.569158,False,candidate,,,
advanced_calibration,vector_scaling,C=5.00_balanced,1800,1699,1.03216,1.005902,0.067288,0.88332,0.027178,0.056657,0.096114,0.565627,False,candidate,,,
advanced_calibration,vector_scaling,C=10.00_balanced,1800,1699,1.032155,1.005913,0.067299,0.883322,0.02718,0.056632,0.096132,0.565627,False,candidate,,,
advanced_calibration,dirichlet_logistic,C=0.50_balanced,1800,1699,1.031475,1.006038,0.067424,0.884045,0.027903,0.049485,0.096118,0.572101,False,candidate,,,
advanced_calibration,dirichlet_logistic,C=0.10_balanced,1800,1699,1.033179,1.006225,0.067611,0.884193,0.028051,0.055379,0.095235,0.569158,False,candidate,,,
advanced_calibration,vector_scaling,C=0.10_balanced,1800,1699,1.033483,1.006409,0.067795,0.884166,0.028024,0.057542,0.095328,0.573867,False,candidate,,,
advanced_calibration,dirichlet_logistic,C=1.00_balanced,1800,1699,1.031424,1.006447,0.067833,0.884209,0.028067,0.050683,0.096383,0.572101,False,candidate,,,
advanced_calibration,dirichlet_logistic,C=2.00_balanced,1800,1699,1.031275,1.006774,0.06816,0.884336,0.028194,0.051898,0.096567,0.570924,False,candidate,,,
advanced_calibration,dirichlet_logistic,C=5.00_balanced,1800,1699,1.03127,1.006806,0.068192,0.884424,0.028282,0.050736,0.096613,0.570924,False,candidate,,,
advanced_calibration,dirichlet_logistic,C=10.00_balanced,1800,1699,1.031251,1.006992,0.068378,0.884449,0.028307,0.052503,0.096647,0.570335,False,candidate,,,
advanced_calibration,dirichlet_logistic,C=0.05_balanced,1800,1699,1.034096,1.007378,0.068764,0.884973,0.028831,0.061262,0.094875,0.573867,False,candidate,,,
advanced_calibration,dirichlet_logistic,C=0.03_balanced,1800,1699,1.035038,1.008297,0.069683,0.886066,0.029924,0.058674,0.094698,0.574456,False,candidate,,,
