match_number,group,home_team,away_team,p_home_win_90,p_draw_90,p_away_win_90,p_xgb_home_win_90,p_xgb_draw_90,p_xgb_away_win_90,p_pre_draw_home_win_90,p_pre_draw_draw_90,p_pre_draw_away_win_90,p_poisson_home_win_90,p_poisson_draw_90,p_poisson_away_win_90,p_home_advances,p_away_advances,p_home_advances_if_draw,home_xg,away_xg,context_shift,home_rest_days,away_rest_days,home_travel_km,away_travel_km,neutral_order_symmetrized,squad_top26_diff,attack_strength_diff,midfield_strength_diff,defense_strength_diff,gk_strength_diff,market_value_log_diff,age_diff,tm_market_value_log_diff,tm_caps_diff,tm_recent_injury_days_diff,tm_injury_value_log_diff,tm_coverage_diff
1,A,Mexico,South Africa,0.7247308087851456,0.18516523081502215,0.09010396039983228,0.7064735617729782,0.188610815214406,0.10491562301261582,0.7247308087851455,0.18516523081502215,0.09010396039983223,0.6735522394255731,0.20478680921386982,0.12166095136055713,0.8485820451361085,0.15141795486389154,0.668868749310116,2.339585983650267,0.6186072367369846,0.1,5.0,5.0,0.0,0.0,True,10.365384615384613,13.285714285714292,9.625,7.208333333333329,0.10389610389610482,1.6108864051500973,2.4663461538461533,2.134071477735212,1.2094266550084,0.7733392422775198,2.695933941379563,2.972907384707776
2,A,Korea Republic,Czechia,0.3987648847538519,0.3,0.30123511524614804,0.4046578765609544,0.2906805022162274,0.3046616212228182,0.3922569960816425,0.3114240803157946,0.2963189236025629,0.4178873354773016,0.284170057623223,0.29794260689947544,0.5538142353920672,0.4461857646079328,0.5168311687940508,1.5156914124160732,1.3482684772565694,0.0,5.0,5.0,0.0,0.0,True,-1.8846153846153868,-0.75,-0.375,-2.625,-3.0,-0.3082558032007263,0.9615384615384599,-0.2016653408298552,-0.12941107365150284,0.39531273664414623,0.3860472417973533,-0.1539474484476333
3,B,Canada,Bosnia and Herzegovina,0.6183922533059598,0.2541797918176627,0.12742795487637737,0.5935497747313282,0.25632317536346966,0.15012704990520218,0.6183922533059599,0.25417979181766276,0.12742795487637731,0.5683913928844165,0.24958168580058582,0.1820269213149976,0.7676524953165194,0.23234750468348064,0.5872230870250779,1.7872787904198273,0.9285982488398965,0.1,5.0,5.0,0.0,0.0,True,-0.038461538461532996,-1.125,1.0,3.5,3.375,0.5344497769994376,-0.9615384615384599,0.5835091527189071,0.01676685985706694,-0.09819896371021564,0.3741327408904418,-0.159350899554366
4,D,USA,Paraguay,0.3040197359975997,0.28921333924676956,0.40676692475563087,0.2716194770222746,0.2714271179266905,0.4569534050510348,0.3040197359975996,0.2892133392467695,0.40676692475563087,0.25107823604284746,0.26854656096324175,0.48037520299391084,0.4438382272768161,0.5561617727231839,0.4834441303549874,1.2838655103777499,1.4464610552167738,0.1,5.0,5.0,0.0,0.0,True,3.0,3.0,5.25,3.25,3.75,1.1832782157188433,-3.8461538461538467,1.023839050572363,0.9595797269276014,0.6183567309867968,1.5946057765707913,2.6372241485335977
5,B,Qatar,Switzerland,0.12430137061550554,0.14943726157652173,0.7262613678079727,0.13904651037283067,0.16045203984288917,0.7005014497842802,0.12430137061550553,0.14943726157652173,0.7262613678079727,0.05528578752103426,0.13260634509807875,0.812107867380887,0.17195023438151433,0.8280497656184856,0.31885530598812145,0.6000282658434569,2.470399585308278,0.0,5.0,5.0,0.0,0.0,True,-9.538461538461547,-6.5,-6.25,-8.625,-12.875,-19.704942382275654,0.46153846153846345,-2.898739962192977,-0.2596945639645565,-1.0889910478838791,-4.3330514509180595,-1.9057867729853175
6,C,Brazil,Morocco,0.5401971945043709,0.26349631955334224,0.196306485942287,0.5493995588228073,0.2543396596188818,0.19626078155831084,0.5401971945043708,0.26349631955334224,0.19630648594228695,0.5056273546370542,0.2629851488351368,0.23138749652780893,0.6952865033686365,0.3047134966313635,0.5885824482374575,1.925331718922492,1.0327604087990017,0.0,5.0,5.0,0.0,0.0,True,5.269230769230774,4.75,4.5,4.5,10.224999999999994,0.9605320775746797,0.07692307692307665,0.9131405382233524,-0.4114591320483747,0.13718236418640384,1.2198236827734021,1.903589882100892
7,C,Haiti,Scotland,0.10620189992153299,0.22451571195234835,0.6692823881261186,0.10508170135440978,0.2136478977448925,0.6812704009006977,0.10620189992153298,0.22451571195234835,0.6692823881261186,0.13485795890443625,0.21523574634158288,0.6499062947539809,0.18845959440515625,0.8115404055948438,0.3663783428265448,0.7967559433672335,2.148883857373135,0.0,5.0,5.0,0.0,0.0,True,-8.92857142857143,-6.0,-11.25,-11.25,2.0,-2.533365938965389,-0.6758241758241752,-1.796521647885445,-0.5763840328043077,-1.748587297362846,-2.404548249827485,-2.4493617123685896
8,D,Australia,Türkiye,0.2573679370715829,0.2898492713823148,0.45278279154610224,0.25430309974786264,0.2856114315096822,0.46008546874245515,0.2573679370715829,0.2898492713823148,0.45278279154610224,0.23233955780408047,0.26212912051520604,0.5055313216807136,0.38342265109804213,0.6165773489019579,0.4348974673122138,1.1132432291563932,1.762927937899766,0.0,5.0,5.0,0.0,0.0,True,-7.076923076923066,-8.0,-9.0,-6.375,-7.625,-2.076793687114076,1.3846153846153832,-1.7258482530030932,-0.35770534073262894,0.14521780659057715,-1.5110261633510547,-1.788207067623687
9,E,Germany,Curaçao,0.8186585748764853,0.1307882978413817,0.05055312728213304,0.8271983235061231,0.12243062584686791,0.050371050647008975,0.8186585748764853,0.1307882978413817,0.050553127282133056,0.8689802388870489,0.09857287683686208,0.03244688427608907,0.9150401288628787,0.08495987113712133,0.736927963565086,3.007924500260701,0.4388004582559949,0.0,5.0,5.0,0.0,0.0,True,19.04358974358975,19.975,17.0,18.80357142857143,21.5,3.9881028788157735,5.856410256410257,1.7505999126427234,0.6513404493771509,0.9144927092141488,2.3332804358097263,3.8290553894571273
10,F,Netherlands,Japan,0.44831742910126515,0.28417232040724594,0.2675102504914889,0.44995421171188354,0.2738478481769562,0.2761979401111603,0.44831742910126515,0.28417232040724594,0.2675102504914889,0.46482617323941144,0.2706033434088171,0.26457048335177147,0.6063338432902471,0.3936661567097529,0.556058429485776,1.7556774470129457,1.1927505598845158,0.0,5.0,5.0,0.0,0.0,True,5.461538461538467,3.125,4.5,7.75,9.0,1.0140036153130652,0.03846153846153655,1.071602826916184,-0.06983109450333913,-0.12763533209939482,1.429301504081149,0.787794108193598
11,E,Côte d'Ivoire,Ecuador,0.13925518606034193,0.18686357635816203,0.673881237581496,0.13668790341704903,0.18243466657464702,0.6808774300083039,0.13925518606034193,0.18686357635816203,0.673881237581496,0.12425826455267072,0.20545597768287172,0.6702857577644575,0.2146293607437902,0.7853706392562099,0.40336472282312696,0.9566015906587382,1.9239823519664876,0.0,5.0,5.0,0.0,0.0,True,3.538461538461533,5.875,1.625,2.375,5.75,0.24360217804175832,-1.7692307692307665,0.8691419287005537,0.2664567858364988,0.02622855485962905,2.221389354027046,1.7029160306572875
