runs,seed,workers,rank,team,wins,probability,elapsed_seconds,rate_per_second
5000,2026,8,1,Germany,1854,0.3708,66.692,74.971
5000,2026,8,2,Ecuador,1335,0.267,66.692,74.971
5000,2026,8,3,France,415,0.083,66.692,74.971
5000,2026,8,4,Brazil,306,0.0612,66.692,74.971
5000,2026,8,5,Portugal,235,0.047,66.692,74.971
5000,2026,8,6,Côte d'Ivoire,140,0.028,66.692,74.971
5000,2026,8,7,Spain,94,0.0188,66.692,74.971
5000,2026,8,8,Norway,77,0.0154,66.692,74.971
5000,2026,8,9,Colombia,66,0.0132,66.692,74.971
5000,2026,8,10,Mexico,61,0.0122,66.692,74.971
5000,2026,8,11,Morocco,56,0.0112,66.692,74.971
5000,2026,8,12,Argentina,55,0.011,66.692,74.971
5000,2026,8,13,Netherlands,54,0.0108,66.692,74.971
5000,2026,8,14,Scotland,47,0.0094,66.692,74.971
5000,2026,8,15,Korea Republic,27,0.0054,66.692,74.971
5000,2026,8,16,Türkiye,24,0.0048,66.692,74.971
5000,2026,8,17,Japan,23,0.0046,66.692,74.971
5000,2026,8,18,England,22,0.0044,66.692,74.971
5000,2026,8,19,Czechia,21,0.0042,66.692,74.971
5000,2026,8,20,Paraguay,13,0.0026,66.692,74.971
5000,2026,8,21,Australia,11,0.0022,66.692,74.971
5000,2026,8,22,USA,11,0.0022,66.692,74.971
5000,2026,8,23,Uruguay,9,0.0018,66.692,74.971
5000,2026,8,24,Croatia,8,0.0016,66.692,74.971
5000,2026,8,25,Senegal,7,0.0014,66.692,74.971
5000,2026,8,26,Belgium,6,0.0012,66.692,74.971
5000,2026,8,27,Switzerland,6,0.0012,66.692,74.971
5000,2026,8,28,Uzbekistan,5,0.001,66.692,74.971
5000,2026,8,29,Canada,3,0.0006,66.692,74.971
5000,2026,8,30,South Africa,3,0.0006,66.692,74.971
5000,2026,8,31,Sweden,3,0.0006,66.692,74.971
5000,2026,8,32,Algeria,1,0.0002,66.692,74.971
5000,2026,8,33,IR Iran,1,0.0002,66.692,74.971
5000,2026,8,34,Tunisia,1,0.0002,66.692,74.971
10000,2026,8,1,Germany,3697,0.3697,127.922,78.173
10000,2026,8,2,Ecuador,2663,0.2663,127.922,78.173
10000,2026,8,3,France,833,0.0833,127.922,78.173
10000,2026,8,4,Brazil,613,0.0613,127.922,78.173
10000,2026,8,5,Portugal,491,0.0491,127.922,78.173
10000,2026,8,6,Côte d'Ivoire,273,0.0273,127.922,78.173
10000,2026,8,7,Spain,177,0.0177,127.922,78.173
10000,2026,8,8,Norway,168,0.0168,127.922,78.173
10000,2026,8,9,Argentina,128,0.0128,127.922,78.173
10000,2026,8,10,Colombia,126,0.0126,127.922,78.173
10000,2026,8,11,Morocco,123,0.0123,127.922,78.173
10000,2026,8,12,Mexico,114,0.0114,127.922,78.173
10000,2026,8,13,Netherlands,114,0.0114,127.922,78.173
10000,2026,8,14,Scotland,84,0.0084,127.922,78.173
10000,2026,8,15,Korea Republic,57,0.0057,127.922,78.173
10000,2026,8,16,England,47,0.0047,127.922,78.173
10000,2026,8,17,Türkiye,43,0.0043,127.922,78.173
10000,2026,8,18,Czechia,42,0.0042,127.922,78.173
10000,2026,8,19,Japan,37,0.0037,127.922,78.173
10000,2026,8,20,Paraguay,36,0.0036,127.922,78.173
10000,2026,8,21,Croatia,22,0.0022,127.922,78.173
10000,2026,8,22,Australia,19,0.0019,127.922,78.173
10000,2026,8,23,USA,19,0.0019,127.922,78.173
10000,2026,8,24,Senegal,15,0.0015,127.922,78.173
10000,2026,8,25,Uruguay,13,0.0013,127.922,78.173
10000,2026,8,26,Switzerland,9,0.0009,127.922,78.173
10000,2026,8,27,Belgium,8,0.0008,127.922,78.173
10000,2026,8,28,Uzbekistan,7,0.0007,127.922,78.173
10000,2026,8,29,Canada,6,0.0006,127.922,78.173
10000,2026,8,30,Sweden,5,0.0005,127.922,78.173
10000,2026,8,31,South Africa,3,0.0003,127.922,78.173
10000,2026,8,32,Congo DR,2,0.0002,127.922,78.173
10000,2026,8,33,Algeria,1,0.0001,127.922,78.173
10000,2026,8,34,IR Iran,1,0.0001,127.922,78.173
10000,2026,8,35,Tunisia,1,0.0001,127.922,78.173
10000,2026,8,36,Bosnia and Herzegovina,1,0.0001,127.922,78.173
10000,2026,8,37,Iraq,1,0.0001,127.922,78.173
10000,2026,8,38,Austria,1,0.0001,127.922,78.173
