kind,runs,stage,rank,name,appearances,probability,matches,finals
stage,1000,Round of 32,1,Spain,989.0,0.989,,
stage,1000,Round of 32,2,Argentina,989.0,0.989,,
stage,1000,Round of 32,3,Germany,965.0,0.965,,
stage,1000,Round of 32,4,England,965.0,0.965,,
stage,1000,Round of 32,5,Brazil,963.0,0.963,,
stage,1000,Round of 32,6,Switzerland,962.0,0.962,,
stage,1000,Round of 32,7,Portugal,954.0,0.954,,
stage,1000,Round of 32,8,Colombia,948.0,0.948,,
stage,1000,Round of 32,9,Netherlands,946.0,0.946,,
stage,1000,Round of 32,10,France,944.0,0.944,,
stage,1000,Round of 32,11,Belgium,943.0,0.943,,
stage,1000,Round of 32,12,Ecuador,938.0,0.938,,
stage,1000,Round of 32,13,Uruguay,932.0,0.932,,
stage,1000,Round of 32,14,Mexico,923.0,0.923,,
stage,1000,Round of 32,15,Croatia,922.0,0.922,,
stage,1000,Round of 32,16,Canada,917.0,0.917,,
stage,1000,Round of 32,17,Japan,859.0,0.859,,
stage,1000,Round of 32,18,IR Iran,855.0,0.855,,
stage,1000,Round of 32,19,Morocco,844.0,0.844,,
stage,1000,Round of 32,20,Türkiye,807.0,0.807,,
stage,1000,Round of 32,21,Korea Republic,801.0,0.801,,
stage,1000,Round of 32,22,Norway,779.0,0.779,,
stage,1000,Round of 32,23,Scotland,763.0,0.763,,
stage,1000,Round of 32,24,Senegal,737.0,0.737,,
stage,1000,Round of 32,25,Paraguay,733.0,0.733,,
stage,1000,Round of 32,26,Czechia,722.0,0.722,,
stage,1000,Round of 32,27,Austria,704.0,0.704,,
stage,1000,Round of 32,28,Egypt,667.0,0.667,,
stage,1000,Round of 32,29,Côte d'Ivoire,661.0,0.661,,
stage,1000,Round of 32,30,USA,634.0,0.634,,
stage,1000,Round of 32,31,Australia,585.0,0.585,,
stage,1000,Round of 32,32,Panama,549.0,0.549,,
stage,1000,Round of 32,33,Algeria,548.0,0.548,,
stage,1000,Round of 32,34,Sweden,520.0,0.52,,
stage,1000,Round of 32,35,Bosnia and Herzegovina,495.0,0.495,,
stage,1000,Round of 32,36,Uzbekistan,429.0,0.429,,
stage,1000,Round of 32,37,Saudi Arabia,381.0,0.381,,
stage,1000,Round of 32,38,Tunisia,362.0,0.362,,
stage,1000,Round of 32,39,Jordan,334.0,0.334,,
stage,1000,Round of 32,40,Qatar,296.0,0.296,,
stage,1000,Round of 32,41,Congo DR,278.0,0.278,,
stage,1000,Round of 32,42,South Africa,263.0,0.263,,
stage,1000,Round of 32,43,New Zealand,250.0,0.25,,
stage,1000,Round of 32,44,Iraq,246.0,0.246,,
stage,1000,Round of 32,45,Cape Verde Islands,221.0,0.221,,
stage,1000,Round of 32,46,Ghana,198.0,0.198,,
stage,1000,Round of 32,47,Haiti,152.0,0.152,,
stage,1000,Round of 32,48,Curaçao,127.0,0.127,,
stage,1000,Round of 16,1,Spain,784.0,0.784,,
stage,1000,Round of 16,2,England,712.0,0.712,,
stage,1000,Round of 16,3,France,701.0,0.701,,
stage,1000,Round of 16,4,Argentina,690.0,0.69,,
stage,1000,Round of 16,5,Brazil,648.0,0.648,,
stage,1000,Round of 16,6,Switzerland,637.0,0.637,,
stage,1000,Round of 16,7,Germany,621.0,0.621,,
stage,1000,Round of 16,8,Belgium,610.0,0.61,,
stage,1000,Round of 16,9,Portugal,607.0,0.607,,
stage,1000,Round of 16,10,Colombia,593.0,0.593,,
stage,1000,Round of 16,11,Netherlands,577.0,0.577,,
stage,1000,Round of 16,12,Ecuador,572.0,0.572,,
stage,1000,Round of 16,13,Mexico,551.0,0.551,,
stage,1000,Round of 16,14,Croatia,528.0,0.528,,
stage,1000,Round of 16,15,Türkiye,501.0,0.501,,
stage,1000,Round of 16,16,Canada,495.0,0.495,,
stage,1000,Round of 16,17,Korea Republic,421.0,0.421,,
stage,1000,Round of 16,18,Japan,407.0,0.407,,
stage,1000,Round of 16,19,Norway,397.0,0.397,,
stage,1000,Round of 16,20,Morocco,390.0,0.39,,
stage,1000,Round of 16,21,Uruguay,381.0,0.381,,
stage,1000,Round of 16,22,IR Iran,374.0,0.374,,
stage,1000,Round of 16,23,Paraguay,373.0,0.373,,
stage,1000,Round of 16,24,Czechia,368.0,0.368,,
