home_team,away_team,base_home,base_draw,base_away,adjusted_home,adjusted_draw,adjusted_away,final_home,final_draw,final_away,max_abs_shift_pre_draw,sum_abs_shift_pre_draw,max_abs_shift_final,base_argmax,adjusted_argmax,final_argmax,argmax_changed_pre_draw,argmax_changed_final,squad_top26_diff,tm_market_value_log_diff,tm_caps_diff,tm_recent_injury_days_diff,context_shift
Curaçao,France,0.169778,0.226162,0.60406,0.012976,0.200079,0.786945,0.012976,0.200079,0.786945,0.182885,0.365769,0.182885,fora,fora,fora,False,False,-20.312821,-2.137546,-0.498147,-0.575738,0.0
South Africa,France,0.43365,0.425441,0.140909,0.275326,0.405562,0.319112,0.275326,0.405562,0.319112,0.178203,0.356406,0.178203,casa,empate,empate,True,True,-19.596154,-4.04689,-1.406595,-0.83586,0.0
South Africa,Spain,0.44456,0.442608,0.112832,0.286667,0.423322,0.29001,0.286667,0.423322,0.29001,0.177178,0.354356,0.177178,casa,empate,empate,True,True,-19.480769,-4.22087,-1.287854,-0.80335,0.0
Iraq,Spain,0.43494,0.49245,0.072611,0.277104,0.47505,0.247846,0.285049,0.46,0.254951,0.175235,0.35047,0.182341,empate,empate,empate,False,False,-19.302198,-4.191882,-0.884997,-0.604977,0.0
Iraq,France,0.480538,0.487049,0.032413,0.324212,0.469465,0.206324,0.329995,0.46,0.210005,0.173911,0.347821,0.177591,empate,empate,empate,False,False,-19.417582,-4.017903,-1.003737,-0.637486,0.0
Curaçao,England,0.161388,0.261112,0.5775,0.01324,0.237536,0.749224,0.01324,0.237536,0.749224,0.171724,0.343448,0.171724,fora,fora,fora,False,False,-19.082051,-2.29835,-0.623029,-0.78873,0.0
South Africa,England,0.4444,0.48868,0.066921,0.294901,0.47191,0.23319,0.301551,0.46,0.238449,0.166269,0.332537,0.171528,empate,empate,empate,False,False,-18.365385,-4.207694,-1.531476,-1.048851,0.0
Iraq,England,0.501265,0.469225,0.02951,0.353997,0.451985,0.194018,0.353997,0.451985,0.194018,0.164508,0.329016,0.164508,casa,empate,empate,True,True,-18.186813,-4.178707,-1.128619,-0.850478,0.0
Curaçao,Brazil,0.206057,0.325198,0.468745,0.063882,0.303825,0.632294,0.063882,0.303825,0.632294,0.163549,0.327097,0.163549,fora,fora,fora,False,False,-19.158974,-1.962302,0.241019,-0.853268,0.0
Curaçao,Portugal,0.177596,0.293023,0.529381,0.036093,0.271826,0.692081,0.036093,0.271826,0.692081,0.1627,0.325399,0.1627,fora,fora,fora,False,False,-18.235897,-1.756089,-0.797011,-0.356375,0.0
New Zealand,Spain,0.190495,0.450291,0.359214,0.044851,0.43339,0.52176,0.044851,0.43339,0.52176,0.162546,0.325092,0.162546,empate,fora,fora,True,True,-17.384615,-3.751535,-0.28912,0.108659,0.0
South Africa,Brazil,0.488133,0.452117,0.05975,0.344556,0.434277,0.221168,0.344556,0.434277,0.221168,0.161418,0.322836,0.161418,casa,empate,empate,True,True,-18.442308,-3.871647,-0.667429,-1.113389,0.0
Panama,France,0.44788,0.517963,0.034157,0.302381,0.502339,0.19528,0.328106,0.46,0.211894,0.161123,0.322245,0.177736,empate,empate,empate,False,False,-18.379487,-3.825531,-0.445988,-0.319612,0.0
Panama,Spain,0.499085,0.477729,0.023186,0.3553,0.460801,0.183899,0.355828,0.46,0.184172,0.160714,0.321427,0.160987,casa,empate,empate,True,True,-18.264103,-3.99951,-0.327248,-0.287103,0.0
South Africa,Germany,0.474059,0.49572,0.030221,0.330371,0.479506,0.190123,0.342752,0.46,0.197248,0.159902,0.319804,0.167027,empate,empate,empate,False,False,-18.326923,-3.659944,-1.559788,-1.174614,0.0
Iraq,Brazil,0.489857,0.486446,0.023697,0.346703,0.469886,0.18341,0.353169,0.46,0.186831,0.159713,0.319427,0.163134,casa,empate,empate,True,True,-18.263736,-3.842659,-0.264571,-0.915016,0.0
Iraq,Germany,0.519675,0.455593,0.024732,0.377811,0.438262,0.183927,0.377811,0.438262,0.183927,0.159195,0.318391,0.159195,casa,empate,empate,True,True,-18.148352,-3.630957,-1.15693,-0.976241,0.0
South Africa,Portugal,0.509912,0.456121,0.033967,0.368074,0.439332,0.192594,0.368074,0.439332,0.192594,0.158627,0.317254,0.158627,casa,empate,empate,True,True,-17.519231,-3.665434,-1.705458,-0.616497,0.0
Iraq,Portugal,0.471673,0.50319,0.025137,0.329027,0.48801,0.182962,0.347028,0.46,0.192972,0.157825,0.31565,0.167835,empate,empate,empate,False,False,-17.340659,-3.636446,-1.302601,-0.418124,0.0
Haiti,Spain,0.331609,0.434596,0.233795,0.191631,0.416794,0.391575,0.191631,0.416794,0.391575,0.15778,0.31556,0.15778,empate,empate,empate,False,False,-18.159341,-3.284113,-0.638626,-1.398543,0.0
Haiti,France,0.353832,0.414321,0.231848,0.214499,0.395882,0.389619,0.214499,0.395882,0.389619,0.157772,0.315544,0.157772,empate,empate,empate,False,False,-18.274725,-3.110133,-0.757367,-1.431052,0.0
Curaçao,Germany,0.268804,0.463924,0.267272,0.129043,0.447164,0.423792,0.129043,0.447164,0.423792,0.156521,0.313042,0.156521,empate,empate,empate,False,False,-19.04359,-1.7506,-0.65134,-0.914493,0.0
New Zealand,France,0.30075,0.538639,0.160612,0.158441,0.524454,0.317105,0.179916,0.46,0.360084,0.156493,0.312986,0.199473,empate,empate,empate,False,False,-17.5,-3.577555,-0.40786,0.07615,0.0
Curaçao,Argentina,0.178074,0.213307,0.608619,0.045091,0.190473,0.764436,0.045091,0.190473,0.764436,0.155817,0.311634,0.155817,fora,fora,fora,False,False,-17.697436,-1.660414,-0.120055,-0.55361,0.0
Curaçao,Netherlands,0.160306,0.308176,0.531518,0.025881,0.288106,0.686013,0.025881,0.288106,0.686013,0.154495,0.30899,0.154495,fora,fora,fora,False,False,-17.658974,-1.704604,-0.407039,-0.595739,0.0
Cape Verde Islands,Spain,0.266245,0.348916,0.384839,0.131132,0.330264,0.538605,0.131132,0.330264,0.538605,0.153766,0.307531,0.153766,fora,fora,fora,False,False,-16.807692,-2.639267,-0.316839,0.12414,0.0
Curaçao,Spain,0.130489,0.143963,0.725548,0.009959,0.110903,0.879137,0.009959,0.110903,0.879137,0.15359,0.307179,0.15359,fora,fora,fora,False,False,-20.197436,-2.311525,-0.379407,-0.543229,0.0
New Zealand,England,0.228926,0.384509,0.386566,0.093182,0.366686,0.540133,0.093182,0.366686,0.540133,0.153567,0.307134,0.153567,fora,fora,fora,False,False,-16.269231,-3.738359,-0.532742,-0.136841,0.0
South Africa,Argentina,0.447302,0.402471,0.150227,0.311796,0.384599,0.303605,0.311796,0.384599,0.303605,0.153378,0.306757,0.153378,casa,empate,empate,True,True,-16.980769,-3.569759,-1.028503,-0.813731,0.0
Panama,England,0.457413,0.498699,0.043888,0.320615,0.483349,0.196036,0.335104,0.46,0.204896,0.152148,0.304296,0.161008,empate,empate,empate,False,False,-17.148718,-3.986335,-0.57087,-0.532603,0.0
Cape Verde Islands,France,0.372953,0.321041,0.306006,0.240843,0.301591,0.457566,0.240843,0.301591,0.457566,0.15156,0.30312,0.15156,casa,fora,fora,True,True,-16.923077,-2.465287,-0.435579,0.09163,0.0
South Africa,Netherlands,0.476864,0.474279,0.048856,0.341311,0.458563,0.200126,0.341311,0.458563,0.200126,0.15127,0.30254,0.15127,casa,empate,empate,True,True,-16.942308,-3.613948,-1.315486,-0.85586,0.0
Iraq,Netherlands,0.484962,0.491742,0.023296,0.350017,0.476707,0.173276,0.361192,0.46,0.178808,0.14998,0.29996,0.155512,empate,empate,empate,False,False,-16.763736,-3.584961,-0.912629,-0.657487,0.0
Iraq,Argentina,0.558154,0.406219,0.035626,0.426306,0.388647,0.185047,0.426306,0.388647,0.185047,0.149421,0.298842,0.149421,casa,casa,casa,False,False,-16.802198,-3.540771,-0.625645,-0.615358,0.0
Panama,Brazil,0.529618,0.430571,0.039811,0.399495,0.413269,0.187236,0.399495,0.413269,0.187236,0.147425,0.29485,0.147425,casa,empate,empate,True,True,-17.225641,-3.650287,0.293178,-0.597142,0.0
Qatar,Spain,0.44273,0.44846,0.10881,0.312234,0.432168,0.255599,0.312234,0.432168,0.255599,0.146789,0.293577,0.146789,empate,empate,empate,False,False,-16.115385,-4.518704,-0.175021,-0.724952,0.0
Qatar,France,0.491394,0.421048,0.087558,0.362281,0.403947,0.233772,0.362281,0.403947,0.233772,0.146214,0.292428,0.146214,casa,empate,empate,True,True,-16.230769,-4.344725,-0.293761,-0.757461,0.0
Panama,Germany,0.482851,0.504441,0.012708,0.351645,0.489586,0.158769,0.372028,0.46,0.167972,0.146061,0.292122,0.155264,empate,empate,empate,False,False,-17.110256,-3.438585,-0.599181,-0.658366,0.0
Panama,Portugal,0.469051,0.505605,0.025344,0.338165,0.491416,0.170419,0.359054,0.46,0.180946,0.145075,0.290149,0.155602,empate,empate,empate,False,False,-16.302564,-3.444074,-0.744851,-0.100249,0.0
Haiti,England,0.396532,0.49816,0.105308,0.26702,0.483259,0.249721,0.279039,0.46,0.260961,0.144413,0.288826,0.155653,empate,empate,empate,False,False,-17.043956,-3.270937,-0.882248,-1.644043,0.0
New Zealand,Brazil,0.32675,0.462538,0.210713,0.198341,0.4471,0.354559,0.198341,0.4471,0.354559,0.143846,0.287692,0.143846,empate,empate,empate,False,False,-16.346154,-3.402312,0.331306,-0.20138,0.0
Saudi Arabia,Spain,0.456781,0.409229,0.133989,0.330207,0.393358,0.276435,0.330207,0.393358,0.276435,0.142446,0.284891,0.142446,casa,empate,empate,True,True,-13.807692,-5.450724,-2.705897,-2.653068,0.0
Saudi Arabia,France,0.425903,0.496438,0.077658,0.298446,0.48291,0.218644,0.311669,0.46,0.228331,0.140985,0.281971,0.150673,empate,empate,empate,False,False,-13.923077,-5.276745,-2.824638,-2.685577,0.0
