match_number,home_team,away_team,win_order_delta,draw_order_delta,loss_order_delta,advance_order_delta,advance_if_draw_complement_delta,home_xg_order_delta,away_xg_order_delta,forward_probability_sum_error,reverse_probability_sum_error,forward_order_symmetrized,reverse_order_symmetrized
1,Mexico,South Africa,0.0,2.7755575615628914e-17,6.938893903907228e-17,0.0,0.0,0.0,0.0,0.0,0.0,True,True
2,Korea Republic,Czechia,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,True,True
3,Canada,Bosnia and Herzegovina,1.1102230246251565e-16,1.1102230246251565e-16,5.551115123125783e-17,0.0,1.1102230246251565e-16,0.0,0.0,1.1102230246251565e-16,0.0,True,True
4,USA,Paraguay,5.551115123125783e-17,0.0,1.1102230246251565e-16,1.6653345369377348e-16,0.0,0.0,0.0,0.0,0.0,True,True
5,Qatar,Switzerland,1.3877787807814457e-17,0.0,0.0,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,True,True
6,Brazil,Morocco,0.0,0.0,0.0,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,True,True
7,Haiti,Scotland,4.163336342344337e-17,2.7755575615628914e-17,1.1102230246251565e-16,1.1102230246251565e-16,2.220446049250313e-16,0.0,0.0,0.0,0.0,True,True
8,Australia,Türkiye,0.0,0.0,0.0,5.551115123125783e-17,1.1102230246251565e-16,0.0,0.0,0.0,0.0,True,True
9,Germany,Curaçao,0.0,0.0,1.3877787807814457e-17,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,True,True
10,Netherlands,Japan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True
11,Côte d'Ivoire,Ecuador,2.7755575615628914e-17,0.0,0.0,5.551115123125783e-17,1.1102230246251565e-16,0.0,0.0,0.0,0.0,True,True
12,Sweden,Tunisia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True
13,Spain,Cape Verde Islands,0.0,0.0,2.7755575615628914e-17,1.1102230246251565e-16,2.220446049250313e-16,0.0,0.0,0.0,0.0,True,True
14,Belgium,Egypt,0.0,0.0,2.7755575615628914e-17,0.0,1.1102230246251565e-16,0.0,0.0,0.0,0.0,True,True
