team,stage,runs,probability,lower_95,upper_95,margin_95
Mexico,Group Stage,10000,1.0,1.0,1.0,0.0
Mexico,Round of 32,10000,0.975,0.97194,0.97806,0.00306
Mexico,Round of 16,10000,0.8374,0.830168,0.844632,0.007232
Mexico,Quarter-finals,10000,0.7293,0.720591,0.738009,0.008709
Mexico,Semi-finals,10000,0.0317,0.028266,0.035134,0.003434
Mexico,Final,10000,0.0267,0.02354,0.02986,0.00316
Mexico,Champion,10000,0.0131,0.010871,0.015329,0.002229
South Africa,Group Stage,10000,1.0,1.0,1.0,0.0
South Africa,Round of 32,10000,0.2397,0.231333,0.248067,0.008367
South Africa,Round of 16,10000,0.0492,0.044961,0.053439,0.004239
South Africa,Quarter-finals,10000,0.0298,0.026467,0.033133,0.003333
South Africa,Semi-finals,10000,0.0005,6.2e-05,0.000938,0.000438
South Africa,Final,10000,0.0004,8e-06,0.000792,0.000392
South Africa,Champion,10000,0.0003,0.0,0.000639,0.000339
Korea Republic,Group Stage,10000,1.0,1.0,1.0,0.0
Korea Republic,Round of 32,10000,0.5609,0.551173,0.570627,0.009727
Korea Republic,Round of 16,10000,0.3485,0.339161,0.357839,0.009339
Korea Republic,Quarter-finals,10000,0.2913,0.282395,0.300205,0.008905
Korea Republic,Semi-finals,10000,0.0131,0.010871,0.015329,0.002229
Korea Republic,Final,10000,0.0117,0.009592,0.013808,0.002108
Korea Republic,Champion,10000,0.008,0.006254,0.009746,0.001746
Czechia,Group Stage,10000,1.0,1.0,1.0,0.0
Czechia,Round of 32,10000,0.9268,0.921695,0.931905,0.005105
Czechia,Round of 16,10000,0.6438,0.634414,0.653186,0.009386
Czechia,Quarter-finals,10000,0.5152,0.505405,0.524995,0.009795
Czechia,Semi-finals,10000,0.019,0.016324,0.021676,0.002676
Czechia,Final,10000,0.0144,0.012065,0.016735,0.002335
Czechia,Champion,10000,0.0044,0.003103,0.005697,0.001297
Canada,Group Stage,10000,1.0,1.0,1.0,0.0
Canada,Round of 32,10000,0.9724,0.969189,0.975611,0.003211
Canada,Round of 16,10000,0.3108,0.301729,0.319871,0.009071
Canada,Quarter-finals,10000,0.2601,0.251502,0.268698,0.008598
Canada,Semi-finals,10000,0.008,0.006254,0.009746,0.001746
Canada,Final,10000,0.0015,0.000741,0.002259,0.000759
Canada,Champion,10000,0.0011,0.00045,0.00175,0.00065
Bosnia and Herzegovina,Group Stage,10000,1.0,1.0,1.0,0.0
