team,wins,runs,probability,lower_95,upper_95,margin_95
Spain,185,1000,0.185,0.160933,0.209067,0.024067
Brazil,128,1000,0.128,0.107293,0.148707,0.020707
Germany,117,1000,0.117,0.097078,0.136922,0.019922
Mexico,112,1000,0.112,0.092453,0.131547,0.019547
Czechia,96,1000,0.096,0.077741,0.114259,0.018259
Netherlands,73,1000,0.073,0.056877,0.089123,0.016123
Korea Republic,67,1000,0.067,0.051503,0.082497,0.015497
Uruguay,36,1000,0.036,0.024454,0.047546,0.011546
France,31,1000,0.031,0.020258,0.041742,0.010742
Switzerland,28,1000,0.028,0.017775,0.038225,0.010225
Ecuador,24,1000,0.024,0.014514,0.033486,0.009486
Scotland,17,1000,0.017,0.008988,0.025012,0.008012
Portugal,12,1000,0.012,0.005251,0.018749,0.006749
Morocco,12,1000,0.012,0.005251,0.018749,0.006749
Belgium,11,1000,0.011,0.004535,0.017465,0.006465
Canada,11,1000,0.011,0.004535,0.017465,0.006465
