cup_year,model,test_rows,accuracy,top2_accuracy,log_loss,brier,rps,ece,draw_recall,temperature,home_goal_mae,away_goal_mae,classifier_weight,poisson_weight,draw_floor,draw_ceiling,objective,draw_expected_rate,draw_actual_rate,draw_gap,entropy,randomness_penalty,inner_train_rows,inner_rows,inner_rho,outer_rho
1994,baseline_elo_1x2,52,0.5192,0.6346,1.1619,0.7018,0.2392,0.2408,0.1818,,,,,,,,,,,,,,,,,
1994,logistic_1x2,52,0.6923,0.9808,0.6147,0.4102,0.1087,0.0954,0.5455,,,,,,,,,,,,,,,,,
1994,xgb_1x2,52,0.75,0.9808,0.5032,0.3196,0.0843,0.1112,0.2727,,,,,,,,,,,,,,,,,
1994,xgb_temperature_calibrated_1x2,52,0.75,0.9808,0.4832,0.3105,0.0815,0.0727,0.2727,0.7,,,,,,,,,,,,,,,,
1994,poisson_goal_model_1x2,52,0.7308,0.9615,0.6373,0.3704,0.1068,0.1301,0.0,,1.0472,0.6561,,,,,,,,,,,,,,
1994,xgb_count_poisson_1x2,52,0.7692,0.9808,0.6518,0.3706,0.1064,0.1626,0.0,,0.9637,0.6355,,,,,,,,,,,,,,
1994,stacking_meta_1x2,52,0.6731,0.9808,0.6525,0.4013,0.112,0.0922,0.5455,,,,,,,,,,,,,,,,,
1994,hybrid_nested_policy_1x2,52,,,0.59309,0.344386,0.096315,0.129106,0.090909,,,,0.8,0.2,0.04,0.46,0.674082,0.269991,0.211538,0.058452,0.733694,0.0,1177.0,1505.0,-0.18,-0.18
1998,baseline_elo_1x2,64,0.5156,0.6406,1.1685,0.7064,0.2292,0.2444,0.2105,,,,,,,,,,,,,,,,,
1998,logistic_1x2,64,0.6719,0.9844,0.602,0.396,0.1042,0.1237,0.4211,,,,,,,,,,,,,,,,,
1998,xgb_1x2,64,0.7031,1.0,0.5777,0.3895,0.0979,0.125,0.0526,,,,,,,,,,,,,,,,,
1998,xgb_temperature_calibrated_1x2,64,0.7031,1.0,0.6149,0.4171,0.1044,0.1475,0.0526,0.7,,,,,,,,,,,,,,,,
1998,poisson_goal_model_1x2,64,0.6875,0.9844,0.6925,0.4152,0.1079,0.0654,0.0,,1.0463,0.6012,,,,,,,,,,,,,,
1998,xgb_count_poisson_1x2,64,0.6875,0.9844,0.6776,0.4044,0.1033,0.1106,0.0,,0.9521,0.6073,,,,,,,,,,,,,,
1998,stacking_meta_1x2,64,0.6406,0.9844,0.645,0.4042,0.1067,0.1113,0.4211,,,,,,,,,,,,,,,,,
1998,hybrid_nested_policy_1x2,64,,,0.661696,0.399365,0.102564,0.078812,0.0,,,,0.5,0.5,0.04,0.46,0.748283,0.226531,0.296875,0.070344,0.696858,0.0,4055.0,1747.0,-0.18,-0.18
2002,baseline_elo_1x2,64,0.4531,0.5469,1.2839,0.7864,0.2726,0.3069,0.1875,,,,,,,,,,,,,,,,,
2002,logistic_1x2,64,0.5625,0.9375,0.7678,0.5177,0.1455,0.0878,0.125,,,,,,,,,,,,,,,,,
2002,xgb_1x2,64,0.6562,0.9375,0.7109,0.4642,0.1297,0.0996,0.0625,,,,,,,,,,,,,,,,,
2002,xgb_temperature_calibrated_1x2,64,0.6562,0.9375,0.7289,0.4732,0.1325,0.1582,0.0625,0.85,,,,,,,,,,,,,,,,
2002,poisson_goal_model_1x2,64,0.6562,0.9219,0.7867,0.4747,0.1396,0.0648,0.0,,0.9961,0.6737,,,,,,,,,,,,,,
2002,xgb_count_poisson_1x2,64,0.6719,0.9375,0.7739,0.4621,0.1353,0.1367,0.0,,0.9021,0.6782,,,,,,,,,,,,,,
2002,stacking_meta_1x2,64,0.5781,0.9375,0.8175,0.5151,0.1491,0.0371,0.125,,,,,,,,,,,,,,,,,
2002,hybrid_nested_policy_1x2,64,,,0.747024,0.454001,0.130668,0.100029,0.0,,,,0.82,0.18,0.04,0.3,0.820582,0.241296,0.25,0.008704,0.744102,0.0,7541.0,1888.0,-0.18,-0.18
2006,baseline_elo_1x2,64,0.6406,0.7031,0.9378,0.5464,0.1697,0.1194,0.3333,,,,,,,,,,,,,,,,,
2006,logistic_1x2,64,0.7188,0.9688,0.6049,0.3931,0.1061,0.144,0.4,,,,,,,,,,,,,,,,,
2006,xgb_1x2,64,0.7656,0.9844,0.5383,0.3475,0.09,0.0812,0.0,,,,,,,,,,,,,,,,,
2006,xgb_temperature_calibrated_1x2,64,0.7656,0.9844,0.5332,0.347,0.0894,0.0675,0.0,0.85,,,,,,,,,,,,,,,,
2006,poisson_goal_model_1x2,64,0.75,0.9844,0.6106,0.3576,0.0947,0.0921,0.0,,1.1025,0.5951,,,,,,,,,,,,,,
2006,xgb_count_poisson_1x2,64,0.75,0.9844,0.6339,0.3652,0.0979,0.1002,0.0,,0.9632,0.6119,,,,,,,,,,,,,,
2006,stacking_meta_1x2,64,0.6719,0.9688,0.632,0.3956,0.108,0.1122,0.2,,,,,,,,,,,,,,,,,
2006,hybrid_nested_policy_1x2,64,,,0.594946,0.353006,0.093542,0.087914,0.0,,,,0.88,0.12,0.04,0.46,0.651302,0.242971,0.234375,0.008596,0.696817,0.0,11254.0,1781.0,-0.18,-0.18
2010,baseline_elo_1x2,64,0.5312,0.6719,1.1397,0.6864,0.2202,0.2287,0.0625,,,,,,,,,,,,,,,,,
2010,logistic_1x2,64,0.7188,0.9844,0.6205,0.4072,0.1069,0.0851,0.5,,,,,,,,,,,,,,,,,
2010,xgb_1x2,64,0.7344,0.9844,0.5554,0.3645,0.0946,0.0606,0.0625,,,,,,,,,,,,,,,,,
2010,xgb_temperature_calibrated_1x2,64,0.7344,0.9844,0.5634,0.3717,0.0967,0.0614,0.0625,0.8,,,,,,,,,,,,,,,,
2010,poisson_goal_model_1x2,64,0.7031,0.9531,0.67,0.3872,0.1047,0.1149,0.0,,1.0659,0.6212,,,,,,,,,,,,,,
2010,xgb_count_poisson_1x2,64,0.7344,0.9844,0.6662,0.3845,0.1032,0.1692,0.0,,1.0017,0.6202,,,,,,,,,,,,,,
